county,state,msa,pmsa,pop.density,pop,pop.change,age6574,age75,crime,college,income,farm,democrat,republican,Perot,white,black,turnout
Cedar,IA,,,30,17381,-5.6999998093,9,7.8000001907,0,12.8000001907,31915,18.6000003815,40,36,23.6000003815,99.3843841553,0.0920545459,47.4080886841
Cerro Gordo,IA,,,82,46733,-3.4000000954,9.1000003815,7.8000001907,0,15.5,31399,4.5,47,34,18.5,97.870880127,0.6483641267,51.9825401306
Cherokee,IA,,,24,14098,-14.1000003815,9.6000003815,8.8999996185,0,10.8000001907,28350,16.5,37.5999984741,40.2000007629,21.7999992371,99.3048629761,0.1418640912,48.8934593201
Chickasaw,IA,,,26,13295,-14.3999996185,9.3000001907,8.6000003815,0,9.8999996185,28348,19.8999996185,43.9000015259,32.0999984741,23.6000003815,99.7668304443,0.0300864987,49.9435882568
Clarke,IA,,,19,8287,-3.4000000954,8.6999998093,9.8999996185,0,8.8000001907,27129,15.8000001907,45.0999984741,33.2999992371,21.1000003815,99.5776519775,0.0362012796,51.4058151245
Clay,IA,,,31,17585,-9.3999996185,9,7.5,0,14.5,30346,12.3000001907,39.9000015259,35.9000015259,23.3999996185,99.2266159058,0.0454933196,47.6542510986
Clayton,IA,,,24,19054,-11.1999998093,9.3999996185,8.6999998093,0,9,25586,25,40.7000007629,33.0999984741,25.1000003815,99.695602417,0.0314894505,48.2313423157
Clinton,IA,,,74,51040,-10.5,8.8999996185,7.0999999046,0,12.8999996185,31046,7.5999999046,46.7999992371,35,17.7000007629,97.7311935425,1.4341692924,48.9028205872
Crawford,IA,,,23,16775,-12.3999996185,9.3000001907,8.1000003815,0,9.8000001907,26431,19.7999992371,39.2000007629,35.0999984741,24.7999992371,98.7719802856,0.351713866,45.7347259521
Dallas,IA,2120,,53,29755,4.5999999046,7.6999998093,6.9000000954,0,16.2999992371,34881,9.3000001907,44.0999984741,37.5999984741,17.8999996185,99.257270813,0.2117291242,49.9445457458
Davis,IA,,,16,8312,-8.8999996185,8.8999996185,9.8999996185,0,10.5,23519,27.1000003815,48.5999984741,33.2999992371,17.7999992371,99.2059707642,0.0240615979,48.6164588928
Decatur,IA,,,15,8338,-17.2000007629,10.1000003815,10.3999996185,0,12.3000001907,22872,15.3000001907,46.7999992371,33,19.7000007629,98.3089447021,0.419764936,47.805229187
Delaware,IA,,,32,18035,-3.2999999523,8.1999998093,6.5,0,11,29685,21.6000003815,36.4000015259,37.5999984741,25.2000007629,99.5785980225,0.0609925129,47.0862197876
Des Moines,IA,,,103,42614,-7.3000001907,8.6999998093,7.5,0,12.6999998093,32097,3.7000000477,53.4000015259,30.1000003815,16,95.7643051147,3.114000082,49.725440979
Dickinson,IA,,,40,14909,-2.5,11.6999998093,9.1000003815,0,17.5,30659,8.8999996185,37.4000015259,38.5,23.7999992371,99.4701156616,0.1073177308,55.6978988647
Dubuque,IA,2200,,143,86403,-7,7.5999999046,6.5,0,16.7999992371,33828,6,47.7999992371,32.5999984741,19.1000003815,98.8009643555,0.4097079933,49.7297554016
Emmet,IA,,,29,11569,-12.8000001907,9.6999998093,9.1000003815,0,11,27288,11.8999996185,44.5,34.7999992371,20.1000003815,99.2652816772,0.1642320007,43.4955482483
Fayette,IA,,,30,21843,-14.6000003815,10,9.1999998093,0,11.8000001907,26685,21.5,40.5999984741,35.7000007629,23,99.2217178345,0.2197500318,49.7230224609
Floyd,IA,,,34,17058,-13.8000001907,10.3999996185,9.3000001907,0,12.1999998093,28188,14.1000003815,47.5999984741,31,20.7999992371,99.3844528198,0.0468988158,45.4332275391
Franklin,IA,,,19,11364,-14.5,10.1000003815,9.8999996185,0,12.3000001907,28492,24.7999992371,38.9000015259,40.5999984741,19.7999992371,99.0232315063,0.0527983122,46.3393173218
Fremont,IA,,,16,8226,-13.3999996185,11.1999998093,10.3999996185,0,11.3000001907,27452,20.2000007629,36.4000015259,37.2999992371,25.6000003815,99.4043273926,0.0486263074,47.5443725586
Greene,IA,,,18,10045,-17.2999992371,10.8999996185,11.6000003815,0,13.6999998093,27272,20.2999992371,45.2000007629,36.5,17.8999996185,99.4922866821,0.0497760065,53.2901954651
Grundy,IA,,,24,12029,-16.3999996185,10.6000003815,9.3999996185,0,12.3000001907,30847,18.5,30.7999992371,51.2999992371,17.3999996185,99.6425323486,0.0581927001,51.176322937
Guthrie,IA,,,19,10935,-7.0999999046,11.1000003815,9.8999996185,0,9.8999996185,26615,18.7999992371,41,36,22.2999992371,99.5244598389,0.0640146285,49.8673973083
Hamilton,IA,,,28,16071,-9.8999996185,10,8.3999996185,0,12.8000001907,31069,14.3999996185,42.5,39.5,17.5,98.9484176636,0.0560014918,47.7941627502
Hancock,IA,,,22,12638,-11.1000003815,9.3000001907,8.8000001907,0,10.3000001907,29400,21.3999996185,37.5,41.7999992371,20.2000007629,99.0979614258,0.0079126442,45.9408149719
Hardin,IA,,,33,19094,-13.8999996185,10.6000003815,10.6000003815,0,12.3999996185,28539,13.5,42.2000007629,40,17.2000007629,98.6906890869,0.6127579212,47.0252418518
Harrison,IA,,,21,14730,-10.3999996185,9.8000001907,9.6999998093,0,9.1000003815,27293,15.3999996185,34.2000007629,40.2000007629,24.6000003815,99.4501037598,0.0678886622,46.6259346008
Henry,IA,,,45,19226,3,8.3999996185,8.1999998093,0,14.5,30385,11.1999998093,41.0999984741,39.7999992371,17.6000003815,97.3161315918,1.0974721909,44.8767280579
Howard,IA,,,21,9809,-11.3999996185,10.3999996185,11.3000001907,0,8.1999998093,26209,23.7000007629,43.2000007629,31.2000007629,24.5,99.5820159912,0.0509735942,49.5667228699
Humboldt,IA,,,24,10756,-14.1999998093,11.3999996185,9.6000003815,0,11.6000003815,29082,16.8999996185,34,44.2999992371,21.1000003815,99.4886550903,0.0836742297,48.2056541443
Ida,IA,,,19,8365,-7.0999999046,10.3000001907,10,0,11,27287,27,34.2000007629,40.4000015259,25,99.5935440063,0.011954573,50.6754341125
Iowa,IA,,,25,14630,-4.8000001907,9.8000001907,9.1000003815,0,11.1000003815,31687,19,36.7999992371,38.0999984741,24.5,99.5625457764,0.047846891,47.6076545715
Jackson,IA,,,31,19950,-11.1999998093,8.8000001907,7.8000001907,0,10,27436,17.1000003815,47.5,28.7000007629,22.5,99.5839614868,0.0802005008,46.6416053772
Jasper,IA,,,48,34795,-4.0999999046,8.6999998093,7.3000001907,0,12.6999998093,32927,11.3000001907,45.0999984741,38.0999984741,16.5,98.9969787598,0.186808452,51.7660598755
Jefferson,IA,,,38,16310,0.8000000119,7.4000000954,7.3000001907,0,26.5,29439,11.6000003815,30.7000007629,30.5,14.8999996185,98.2648696899,0.5702023506,51.1404037476
Johnson,IA,3500,,159,96119,19.3999996185,4.0999999046,3.4000000954,0,44,39606,4.1999998093,55.2999992371,27.1000003815,16.7000007629,93.2687606812,2.0589060783,53.8644790649
Jones,IA,,,34,19444,-3.2999999523,8.3999996185,7.5999999046,0,10.6000003815,28142,18.7999992371,39.4000015259,34.5,25.8999996185,98.004524231,1.5377494097,45.7724761963
Keokuk,IA,,,20,11624,-10.5,10.1999998093,10.6000003815,0,9.3999996185,26706,21.3999996185,41.7999992371,35.5,22.2000007629,99.4924316406,0.051617343,47.9783210754
Kossuth,IA,,,19,18591,-17.2000007629,9.8000001907,9.1999998093,0,11.8000001907,27665,22.7999992371,40.4000015259,38.2000007629,21,99.3114929199,0.0430315733,48.7278785706
Lee,IA,,,75,38687,-9.6000003815,9.1999998093,7.5999999046,0,10.6999998093,29970,6.5,54.5999984741,27.8999996185,17,95.6135101318,2.8743505478,44.335308075
Linn,IA,1360,,241,168767,1.7999999523,6.8000001907,5.4000000954,0,21.5,38142,2.0999999046,43.4000015259,34,22.1000003815,96.6800384521,1.9755046368,52.6672859192
Louisa,IA,,,28,11592,-5.4000000954,7.6999998093,7.3000001907,0,9.1999998093,29258,15.6999998093,43.2000007629,34.9000015259,21.6000003815,96.6701202393,0.7418909669,41.7874412537
Lucas,IA,,,21,9070,-12.3000001907,10.3999996185,10.3000001907,0,9.5,27482,15.1000003815,44.2999992371,37.0999984741,18.1000003815,99.2723236084,0.044101432,51.5325241089
Lyon,IA,,,20,11952,-7.6999998093,9.3000001907,8.6999998093,0,10.1999998093,26142,27.5,23.2000007629,57.0999984741,18.7000007629,99.5314559937,0.0167336017,47.9082984924
Madison,IA,,,23,12483,0.8999999762,8.8999996185,9.1000003815,0,12,30547,16.5,41.0999984741,39.4000015259,19,99.3511199951,0.040054474,49.2589912415
Mahaska,IA,,,37,21522,-6.4000000954,9.6000003815,8.1000003815,0,13.1000003815,27465,15.6000003815,36.2000007629,48.2999992371,14.6999998093,98.7547607422,0.1951491535,47.6117477417
Marion,IA,,,54,30001,1.7000000477,8.5,7.6999998093,0,12.8999996185,31995,8.3999996185,40.9000015259,44.7999992371,14,98.4967193604,0.3466551006,45.1084976196
Marshall,IA,,,66,38276,-9.5,9.3999996185,8.1000003815,0,15.8000001907,34495,6.4000000954,45.4000015259,37.0999984741,17,97.8994674683,0.7289162874,47.7818984985
Mills,IA,,,31,13202,-0.1000000015,7.3000001907,6.4000000954,0,12.6000003815,32798,10.3000001907,29.2000007629,43.7999992371,26.6000003815,99.3031387329,0.1666414142,46.7050437927
Mitchell,IA,,,23,10928,-12.5,10.6999998093,11.1999998093,0,11.1000003815,29341,23.7999992371,40.7000007629,36.2000007629,22.3999996185,99.7071762085,0.0183016099,48.9293556213
Monona,IA,,,14,10034,-15.1999998093,11.5,12.3000001907,0,10.3000001907,24887,18.7999992371,40,34.2000007629,25.3999996185,99.4817657471,0.0498305745,48.3256912231
Monroe,IA,,,19,8114,-11.1000003815,10.8000001907,9.8000001907,0,8,25325,17.6000003815,48.4000015259,35,16.2000007629,99.075668335,0.23416318,46.6107978821
Montgomery,IA,,,28,12076,-12.1999998093,10.1999998093,11.6000003815,0,12.8000001907,28827,13,29.7999992371,44.7999992371,25,99.6853256226,0.0414044373,44.4600868225
Muscatine,IA,,,93,39907,1,7.1999998093,6.1999998093,0,13,34083,5.9000000954,42,36.0999984741,21.2000007629,94.5824050903,0.521211803,42.2582511902
O'Brien,IA,,,27,15444,-9.5,10.3000001907,10.3999996185,0,12.6000003815,28519,19.3999996185,28,51.0999984741,20.5,99.3460235596,0.0518000536,49.0676002502
Osceola,IA,,,18,7267,-14.1000003815,9.5,9.8000001907,0,10,28599,25.3999996185,27.5,48.7999992371,22.6000003815,99.4633255005,0.0412825085,49.5390129089
Page,IA,,,31,16870,-13.1999998093,10.5,10.5,0,13.5,27933,12.3999996185,26.7000007629,50.2000007629,22.7999992371,98.3165359497,0.4979253113,43.3313560486
Palo Alto,IA,,,19,10669,-17.7000007629,9.8999996185,10.6000003815,0,12.8000001907,25705,20.8999996185,44.0999984741,33.2999992371,22,99.5032348633,0.0749835968,50.4170951843
Plymouth,IA,,,27,23388,-4.4000000954,8.3000001907,8,0,15,31011,20.2000007629,30.2000007629,49.5999984741,19.3999996185,99.4527130127,0.2052334547,44.8264083862
Pocahontas,IA,,,16,9525,-18.7000007629,11.3000001907,10.5,0,12.8000001907,27865,25.3999996185,41.0999984741,37.2999992371,20.2000007629,99.5800552368,0.0419947505,49.018371582
Polk,IA,2120,,594,327140,11.6000003815,6.5,5.0999999046,0,23.8999996185,37669,0.6000000238,47,38.0999984741,14.3999996185,92.6722488403,4.5237512589,51.1273460388
Pottawattamie,IA,5920,,88,82628,-3.2000000477,7.6999998093,5.6999998093,0,11,31044,4.1999998093,35.5999984741,42.2000007629,21.6000003815,98.2778244019,0.5615530014,44.9181861877
Poweshiek,IA,,,32,19033,-1.7999999523,8.6999998093,8,0,16.2000007629,31031,13.3999996185,44.7999992371,35.9000015259,18.6000003815,98.2766799927,0.4571008384,47.5332336426
Ringgold,IA,,,10,5420,-13,12.1000003815,12.1000003815,0,10.3000001907,25133,28.3999996185,46.7000007629,33.7000007629,19.2000007629,99.4464950562,0.0184501838,52.9335784912
Sac,IA,,,21,12324,-14.5,11,11,0,12.6999998093,26264,21.7999992371,36.4000015259,41,22.2000007629,99.6105194092,0.0324569941,42.3158073425
Scott,IA,1960,,339,150979,-3,6.5999999046,4.8000001907,0,21.8999996185,36160,1.2999999523,45.2000007629,38.5999984741,15.3000001907,92.3360214233,5.2788796425,49.4519119263
Shelby,IA,,,22,13230,-12.3999996185,10.3999996185,9.8999996185,0,12.8000001907,26218,23.8999996185,32,42.9000015259,24.7000007629,99.599395752,0.037792895,49.4633407593
Sioux,IA,,,39,29903,-1.6000000238,7.9000000954,6.8000001907,0,14.3999996185,29356,18.5,15.1000003815,72.1999969482,12,99.0134735107,0.0836036503,49.2592735291
Story,IA,,,130,74252,2.7999999523,5,4.5999999046,0,38.4000015259,35482,3.0999999046,47.0999984741,35,17.2999992371,93.1193771362,1.6039972305,48.9023857117
Tama,IA,,,24,17419,-11.3000001907,9.8000001907,9.6999998093,0,11.1999998093,28659,19.5,42.9000015259,35.4000015259,21,94.523223877,0.1779665947,47.821346283
Taylor,IA,,,13,7114,-16.6000003815,11.8000001907,12.3999996185,0,8.6999998093,22801,25.3999996185,40.2999992371,33.7999992371,25.6000003815,99.3815002441,0.0140567897,49.9156608582
Union,IA,,,29,12750,-10.1000003815,9.6000003815,9.6999998093,0,12.8000001907,26441,12,42,36.4000015259,21,99.2156829834,0.0784313753,47.8588218689
Van Buren,IA,,,16,7676,-10.6000003815,10.5,9.8999996185,0,9.6000003815,22574,22.1000003815,39.5,38.2000007629,21.8999996185,99.5049514771,0.1302761883,48.3324661255
Wapello,IA,,,83,35687,-11.1000003815,9.8000001907,8.8999996185,0,11,26506,5.1999998093,53.9000015259,30.2000007629,15.6000003815,98.2514648438,0.7565780282,45.0668296814
Warren,IA,2120,,65,36033,6.9000000954,5.9000000954,5,0,16.2000007629,36646,7.8000001907,45,37.7999992371,16.7999992371,99.0314407349,0.2497710437,53.1651535034
Washington,IA,,,35,19612,-0.400000006,9.1999998093,9.3999996185,0,11.6999998093,30295,14.8000001907,37.5,39.7000007629,22.1000003815,98.9343261719,0.4589027166,45.9820518494
Wayne,IA,,,13,7067,-15.6999998093,13.1000003815,13.1000003815,0,8.3999996185,22175,22.1000003815,45.5,36.2000007629,17.8999996185,99.561340332,0.0141502758,50.7145881653
Webster,IA,,,56,40342,-13,9.3000001907,8.3999996185,0,13.6999998093,28769,5.6999998093,45.2999992371,37,17.2999992371,96.727973938,2.1887857914,46.9014930725
Winnebago,IA,,,30,12122,-8.5,9,10.1000003815,0,14,28750,14,38.2000007629,39.5999984741,21.8999996185,98.7048339844,0.2557333708,50.1402397156
Winneshiek,IA,,,31,20847,-3.7999999523,8.1999998093,7.3000001907,0,17.1000003815,28876,22.3999996185,39.4000015259,34.5999984741,25.1000003815,98.7048492432,0.2062646896,46.1649169922
Woodbury,IA,7720,,115,98276,-0.8999999762,8.1000003815,6.5999999046,0,16.7000007629,30678,3,40.5999984741,42.2999992371,16.7999992371,93.7136230469,1.9099271297,43.615940094
Worth,IA,,,20,7991,-13.3999996185,9.8999996185,10.8999996185,0,10.8999996185,28582,23.7000007629,45.2000007629,31.1000003815,23.5,99.0864715576,0.1877111793,55.6626205444
Wright,IA,,,24,14269,-12.8999996185,11.3999996185,10.6999998093,0,11.3000001907,29201,14.8999996185,41.7000007629,40.5999984741,17.2999992371,99.3412322998,0.0700819939,46.709651947
Allen,KS,,,29,14638,-6.5,9.6000003815,9.3999996185,2782,12.3999996185,25426,8.6000003815,36,36.5999984741,27.2000007629,96.515914917,1.8445142508,43.9267654419
Anderson,KS,,,13,7803,-10.6999998093,10.8999996185,11.1000003815,1973,8.1000003815,25914,20.3999996185,32,33,34.7999992371,98.3211593628,0.5126233697,47.2510566711
Atchison,KS,,,39,16932,-9.3999996185,8.5,8.3999996185,3760,13.3000001907,26772,9.1999998093,39.2999992371,33.5,26.7999992371,92.1214294434,5.6520199776,44.4897232056
Barber,KS,,,5,5874,-14,11.3999996185,10,1319,12.8999996185,26577,13.1999998093,26.2999992371,42.5,31,98.5869903564,0.2213142663,49.0466461182
Barton,KS,,,33,29382,-6.6999998093,9.1000003815,7.5999999046,4570,13.6000003815,28969,3.0999999046,28.2999992371,37.5999984741,33.7000007629,96.6305923462,1.1843986511,46.2255821228
Bourbon,KS,,,23,14966,-7.5999999046,9.8999996185,10.5,3106,14,25462,8.6999998093,35,40.2000007629,24.6000003815,96.4720001221,2.7996792793,47.8551368713
Brown,KS,,,19,11128,-8.3000001907,10.3000001907,11.3999996185,1776,12.5,24728,15.6999998093,27.8999996185,41.5999984741,30.2999992371,91.57081604,1.1861969233,47.5736885071
Butler,KS,9040,,37,50580,19.5,7.3000001907,6.0999999046,3272,17,36137,5.1999998093,29.7000007629,38.7999992371,31.1000003815,97.491104126,0.7255832553,46.7160949707
Chase,KS,,,4,3021,-12.8000001907,11.6000003815,11.6000003815,230,13.6000003815,22440,19.1000003815,27.8999996185,36.2000007629,35.5999984741,99.1393585205,0.1655081064,55.7762336731
Chautauqua,KS,,,7,4407,-14.3999996185,13.8000001907,12.6999998093,1307,10.6000003815,21426,12,28.7999992371,41.0999984741,29.2999992371,95.3483123779,0.5218969584,47.0388031006
Cherokee,KS,,,37,21374,-3.2000000477,9.3999996185,8.3000001907,2973,10.3000001907,22703,6.5,41.7999992371,36.7999992371,21.2000007629,95.6395645142,0.5427154303,45.6489181519
Cheyenne,KS,,,3,3243,-13.3000001907,12.8000001907,11.3000001907,0,13.3000001907,25984,15.1999998093,23.2000007629,49.2000007629,27.2000007629,99.4141235352,0.154178232,54.116558075
Clark,KS,,,2,2418,-9.6999998093,11.3000001907,12.8000001907,2013,17.5,26631,11.1999998093,22.2999992371,51.4000015259,25.8999996185,97.3945388794,0,54.3837890625
Clay,KS,,,14,9158,-6.1999998093,11,12,1377,13.3000001907,25886,17.7999992371,20.6000003815,47.9000015259,31.2000007629,99.126449585,0.1965494603,50.1201133728
Cloud,KS,,,15,11023,-15.5,11.1000003815,13.6000003815,1883,13.8000001907,25654,7.8000001907,31.6000003815,39.0999984741,29,99.0383758545,0.3356617987,49.4239311218
Coffey,KS,,,14,8404,-8.6999998093,9.3000001907,10.3999996185,1940,13.5,27874,14.3999996185,23.7000007629,42.4000015259,33.5999984741,98.9409790039,0.107091859,51.1661109924
Comanche,KS,,,3,2313,-15.3000001907,11.6000003815,14.5,796,14.8999996185,24057,12.1000003815,25.2999992371,49.5,25.2000007629,99.0488510132,0.2594033778,55.555557251
Cowley,KS,,,33,36915,-0.5,8.1999998093,8.1000003815,4286,14.8999996185,31107,5.0999999046,34.2000007629,34.4000015259,31.1000003815,92.8890686035,2.8714613914,42.757686615
Crawford,KS,,,60,35568,-6.5,9.6000003815,10,5492,18.7000007629,26516,5.4000000954,44.4000015259,33,22.2999992371,96.294418335,1.3382816315,46.6458625793
Decatur,KS,,,4,4021,-15.8999996185,11.3999996185,13.1000003815,988,13.6000003815,26250,20,27.6000003815,45,27,99.5026092529,0.0497388691,51.9522514343
Dickinson,KS,,,23,18958,-4.9000000954,9.6000003815,10.3000001907,1298,11.8999996185,28019,8.3999996185,27.2999992371,41.7999992371,30.7000007629,98.0535888672,0.6488026381,48.6443710327
Doniphan,KS,,,20,8134,-13.3000001907,9.3999996185,8.6999998093,1197,9.6999998093,26317,13.5,29.6000003815,39.7000007629,30.2000007629,96.3732452393,1.9055814743,48.8812408447
Douglas,KS,4150,,185,81798,25,4.4000000954,3.7000000477,7279,38.4000015259,35631,2.0999999046,46,30.6000003815,22.7999992371,89.1036453247,4.0636692047,51.6699676514
Edwards,KS,,,6,3787,-15.8999996185,11.8999996185,11.5,1285,13.1000003815,25784,8.1999998093,29.5,39.9000015259,30.2999992371,96.2767333984,0.1056245044,50.8317947388
Elk,KS,,,5,3327,-19.2000007629,13.8000001907,15.8999996185,2896,10.5,25091,16.6000003815,27.7999992371,42.9000015259,28.8999996185,97.3249206543,0.150285542,52.3594818115
Ellis,KS,,,29,26004,-0.5,7.3000001907,6,3502,23.3999996185,31144,3.2999999523,36.5,32,31.2000007629,98.5809860229,0.4191662967,47.8887863159
Ellsworth,KS,,,9,6586,-2.5,10.1999998093,12,1345,12.8000001907,26332,11.8000001907,31.2000007629,37,31.5,96.37109375,2.0346188545,49.1800804138
Finney,KS,,,26,33070,43,4.4000000954,3.2999999523,9720,14.3999996185,31383,2.5999999046,23.8999996185,48.2999992371,27.5,80.0120925903,1.3395826817,33.0601768494
Ford,KS,,,25,27463,14.5,7,5.5999999046,6909,18.1000003815,30613,3,25.3999996185,41.9000015259,32.2999992371,83.286605835,1.722317338,37.7162017822
Franklin,KS,,,39,21994,1.1000000238,7.6999998093,7.9000000954,1687,12.8999996185,30210,9.3999996185,30,37.4000015259,32.2000007629,96.399017334,1.2821679115,44.9349822998
Geary,KS,,,86,30453,10.1999998093,4.5999999046,3,6695,14.6000003815,24231,1.7999999523,33.9000015259,38.7999992371,27.2000007629,68.7551345825,23.636423111,24.8120059967
Gove,KS,,,3,3231,-12.3999996185,10,10.1000003815,3084,13.6000003815,28275,16,22.2000007629,46.4000015259,31.2000007629,99.6286010742,0.12380068,52.8009910583
Graham,KS,,,4,3543,-14.8999996185,9.5,10.8999996185,617,14.1999998093,27742,11,29,39.2999992371,31.5,96.1614456177,2.9071407318,53.9655647278
Grant,KS,,,13,7159,9.3000001907,5,3.7000000477,2678,13.6000003815,32241,3.7999999523,20.5,51.7000007629,27.7000007629,84.634727478,0.0279368628,42.1706924438
Gray,KS,,,6,5396,4.9000000954,6.8000001907,6.5,167,12.6000003815,28878,14.1999998093,20.3999996185,47.7999992371,31.6000003815,95.7746505737,0.1297257245,40.2705726624
Greeley,KS,,,2,1774,-8.3000001907,9,6.6999998093,928,16.7999992371,31989,7.9000000954,21.8999996185,57.7000007629,20,95.0958251953,0.620067656,49.2108230591
Greenwood,KS,,,7,7847,-10.6999998093,12.6000003815,12.6999998093,184,10.3999996185,24720,14.5,32.7999992371,36.5999984741,30.2999992371,98.3688049316,0.114693515,49.1015663147
Hamilton,KS,,,2,2388,-7.6999998093,9.1999998093,10.6000003815,1123,12.8999996185,29483,8.8000001907,28,52,19.7000007629,93.9698486328,0.2093802392,57.7051925659
Harper,KS,,,8,7124,-12.8000001907,11,12.1999998093,1450,10.8999996185,26358,9.8000001907,25,40.5999984741,34.0999984741,98.7647399902,0.1824817508,47.4171829224
Harvey,KS,9040,,58,31028,1.6000000238,8,8.3999996185,2747,20.2999992371,32955,5.5999999046,33.5999984741,41.7000007629,24.2999992371,94.4308395386,1.7758153677,48.382106781
Haskell,KS,,,7,3886,4,6,4.3000001907,1518,13.3999996185,30632,4.9000000954,18.3999996185,56,25.2999992371,87.8281021118,0.051466804,46.9891929626
Hodgeman,KS,,,3,2177,-5.0999999046,9,10,137,17.2999992371,26296,15.6000003815,21,50.9000015259,27.8999996185,98.1626052856,1.0105650425,56.4538345337
Jackson,KS,,,17,11525,-1.7999999523,8.1000003815,8.1000003815,1777,10.3999996185,30572,17.1000003815,29.5,35.5,34.7000007629,92.8850326538,0.3557483852,48.1735343933
Jefferson,KS,,,30,15905,6.6999998093,7.9000000954,6.8000001907,2931,13.5,33460,12.5,32.5999984741,33,34,98.1012268066,0.4589751661,48.9217224121
Jewell,KS,,,4,4251,-23.2000007629,11.8000001907,13,374,11.6999998093,21875,25.6000003815,23.7000007629,45.7000007629,30.2999992371,99.5765686035,0,54.1049156189
Johnson,KS,3760,,787,355054,38.7999992371,5.8000001907,3.5999999046,4262,40.5,50348,0.3000000119,30.6000003815,43.7999992371,25.2000007629,95.4136581421,1.9481543303,54.8998184204
Kearny,KS,,,5,4027,16.3999996185,6.3000001907,5.0999999046,3822,12.5,32077,11.8999996185,22.5,55.2000007629,22,89.4462356567,0.0993295237,42.4385414124
Kingman,KS,,,10,8292,-8.3000001907,10.3999996185,9.5,767,11.8999996185,27491,14.3000001907,26.3999996185,40.4000015259,32.9000015259,99.0472717285,0.108538352,50.2050170898
Kiowa,KS,,,5,3660,-11.5,10.6999998093,10.3999996185,3853,14.6000003815,28099,9.6999998093,18.7999992371,55.9000015259,25.1000003815,98.3606567383,0.1912568361,51.6666679382
Labette,KS,,,36,23693,-9.1000003815,9.3999996185,9.1000003815,3840,12.1000003815,27919,7.5,41.2000007629,33.0999984741,25.2999992371,92.6687240601,4.3472757339,42.9536132813
Lane,KS,,,3,2375,-7.9000000954,10.6999998093,10,878,17.7999992371,30506,10.1999998093,20.3999996185,51.9000015259,27.3999996185,99.1157913208,0.042105265,54.6947364807
Leavenworth,KS,3760,,145,64371,22.2999992371,5.5,4.0999999046,3655,23.8999996185,36820,3.4000000954,34.7999992371,33.4000015259,31.5,85.5400695801,11.0795230865,36.0053443909
Lincoln,KS,,,5,3653,-15.8999996185,11.6999998093,14.3000001907,598,11.6000003815,25223,17.2000007629,28.2000007629,41.0999984741,30.2000007629,99.5072555542,0.0273747612,59.4579811096
Linn,KS,,,14,8254,1.8999999762,11.6999998093,10.1999998093,2156,10.3999996185,24692,14.8000001907,32.7000007629,34.2000007629,32.7999992371,98.7521209717,0.4482675195,50.0848083496
Logan,KS,,,3,3081,-9.6000003815,10.6000003815,9.5,3740,15.8999996185,26731,11.1000003815,20.7999992371,53,26.1000003815,98.8964614868,0.3570269346,55.46900177
Lyon,KS,,,40,34732,-2.2999999523,6,6.1999998093,6808,21.3999996185,30262,5.8000001907,32.7999992371,34.7000007629,32.2000007629,91.6388320923,2.1046872139,42.1973953247
McPherson,KS,,,30,27268,2,8.5,8.8999996185,1875,17.3999996185,32482,8,28.1000003815,44.2000007629,27.3999996185,97.7812805176,0.7738007903,47.6419258118
Marion,KS,,,13,12888,-6.3000001907,11.1999998093,12.1999998093,1341,14.8999996185,27127,15.6999998093,25.6000003815,49.5,24.5,98.4404067993,0.6362507939,49.2783966064
Marshall,KS,,,12,11705,-12.1999998093,10.8000001907,12.1999998093,1264,10.1999998093,25249,20.5,34.5,34.7000007629,30.5,99.376335144,0.0854335725,50.0469894409
Meade,KS,,,4,4247,-11.6999998093,9.3000001907,9.8000001907,0,17.1000003815,27857,7.1999998093,19.8999996185,52.4000015259,27.3999996185,96.3503646851,0,50.9536132813
Miami,KS,3760,,42,23466,11,7,6.8000001907,3062,13.1999998093,34424,8.8000001907,34.5999984741,31.7999992371,33.4000015259,96.4587097168,2.407738924,47.2854347229
Mitchell,KS,,,10,7203,-11.8000001907,9.3000001907,12.6000003815,2387,15.8000001907,26502,9,25.7000007629,43.9000015259,30.1000003815,98.8893508911,0.6108565927,50.6733322144
Montgomery,KS,,,59,38816,-10.5,10,9.3999996185,5762,13.6000003815,27063,3.5999999046,34.2999992371,43,22.3999996185,90.1689987183,6.2783389091,40.9934043884
Morris,KS,,,9,6198,-3.2000000477,11.1000003815,11,2174,12.5,27437,15.6000003815,30.7999992371,34.4000015259,34.4000015259,98.4349822998,0.3226847351,50.193611145
Morton,KS,,,5,3480,-1.2000000477,7.5,6.0999999046,1912,16.2000007629,30785,4.5,23.7999992371,54.7999992371,21,94.7413787842,0.0862068981,47.9885063171
Nemaha,KS,,,14,10446,-7.5999999046,9.8999996185,10.6999998093,1380,12.3000001907,26786,26,28.1000003815,39.5,32.0999984741,99.349029541,0.3542025685,53.7909240723
Neosho,KS,,,30,17035,-10.5,9.6999998093,9.3000001907,2973,11.5,27613,7.5999999046,35.5,37.0999984741,27.1000003815,97.1176986694,1.1153507233,46.3340187073
Ness,KS,,,4,4033,-14.1000003815,10.6000003815,11.6999998093,0,12.3000001907,28229,14.6999998093,25.5,43.5999984741,30.6000003815,99.5784759521,0,54.9962806702
Norton,KS,,,7,5947,-14.5,10.3000001907,12.1000003815,1119,12.8000001907,28972,10,25.3999996185,47.9000015259,26.6000003815,96.250213623,2.2700521946,51.5890350342
